1599677735.72,873602,9038229,0.0,139677696
1599677735.98,874712,9039454,18.0,139677696
1599677736.26,875846,9040588,20.6,139677696
1599677736.55,877061,9041897,18.2,139612160
1599677736.82,878195,9043031,18.2,139612160
1599677737.1,879329,9044084,25.5,139640832
1599677737.37,880301,9045137,17.7,139640832
1599677737.65,881622,9046490,21.7,139640832
1599677737.93,882756,9047624,18.1,139640832
1599677738.21,883992,9048677,21.6,139739136
1599677738.49,885126,9049811,14.3,139739136
1599677738.76,886179,9050945,20.7,139739136
1599677739.05,887394,9052160,18.6,139739136
1599677739.32,888634,9053351,21.2,139739136
1599677739.61,889768,9054485,18.1,139739136
1599677739.88,890902,9055619,14.5,139739136
1599677740.16,892093,9056953,17.6,139743232
1599677740.44,893321,9058087,17.7,139743232
1599677740.72,894650,9059302,23.4,139730944
1599677740.98,897133,9060935,97.3,140214272
1599677741.24,899249,9062416,89.6,140263424
1599677741.49,901870,9064212,92.6,140271616
1599677741.75,904639,9065826,93.4,140234752
1599677742.01,907122,9067495,97.4,140238848
1599677742.27,909695,9069173,97.4,140312576
1599677742.52,912178,9070680,97.1,140275712
1599677742.78,914580,9072268,93.2,140288000
1599677743.04,917063,9073856,92.4,140349440
1599677743.3,919627,9075444,89.6,140333056
1599677743.55,922135,9077170,97.2,140337152
1599677743.81,924904,9078865,96.9,140353536
1599677744.07,927493,9080510,89.0,140427264
1599677744.33,929792,9082072,92.5,140439552
1599677744.59,932275,9083720,85.6,140455936
1599677744.84,934896,9085333,97.4,140521472
1599677745.1,937392,9086921,81.6,140578816
1599677745.36,939956,9088441,93.5,140636160
1599677745.61,942553,9090110,89.7,140693504
1599677745.87,944669,9091657,88.9,140750848
1599677746.13,947438,9093271,97.3,140812288
1599677746.39,949978,9094965,93.4,140906496
1599677746.65,952720,9096806,88.7,140963840
1599677746.92,955203,9098313,96.0,141017088
1599677747.17,957767,9099982,97.4,141074432
1599677747.43,960169,9101570,93.4,141135872
1599677747.69,962652,9103077,93.1,141193216
1599677747.95,965135,9104665,93.2,141250560
1599677748.2,967537,9106253,93.1,141357056
1599677748.46,970387,9107948,93.5,141455360
1599677748.72,972976,9109593,97.5,141471744
1599677748.97,975117,9111233,85.9,141516800
1599677749.23,977738,9112927,81.8,141516800
1599677749.49,979854,9114408,89.3,141565952
1599677749.74,982418,9116077,89.6,141598720
1599677750.0,984901,9117584,93.4,141651968
1599677750.26,987724,9119414,93.5,141688832
1599677750.51,990207,9120981,93.6,141733888
1599677750.77,992680,9122522,85.4,141770752
1599677751.03,995257,9124176,97.0,141787136
1599677751.29,997740,9125858,89.8,141824000
1599677751.54,1000361,9127552,81.2,141869056
1599677751.8,1002763,9129140,93.5,141918208
1599677752.06,1005246,9130647,89.2,141946880
1599677752.32,1007810,9132235,93.4,141991936
1599677752.57,1009926,9133716,89.6,142020608
1599677752.83,1012695,9135330,97.3,142073856
1599677753.09,1015178,9136918,93.3,142102528
1599677753.34,1017538,9138643,81.5,142135296
1599677753.6,1019878,9140124,89.7,142274560
1599677753.86,1022243,9141850,81.9,142221312
1599677754.11,1024726,9143357,85.8,142266368
1599677754.37,1027209,9144945,93.5,142299136
1599677754.63,1029611,9146635,96.9,142336000
1599677754.89,1032175,9148142,97.0,142368768
1599677755.14,1034944,9149811,93.0,142409728
1599677755.4,1037346,9151506,93.6,142446592
1599677755.66,1040037,9153013,93.3,142495744
1599677755.92,1042520,9154667,89.2,142528512
1599677756.17,1044855,9156335,89.7,142561280
1599677756.43,1047338,9157842,93.4,142598144
1599677756.69,1049821,9159767,93.5,142639104
1599677756.94,1052509,9161462,93.5,141889536
1599677757.2,1054992,9162969,93.1,141926400
1599677757.46,1057556,9164557,97.2,141971456
1599677757.72,1060198,9166332,92.7,142000128
1599677757.97,1062681,9167839,89.6,142049280
1599677758.23,1065270,9169667,93.3,142106624
1599677758.49,1067480,9171208,81.5,142114816
1599677758.75,1070330,9172903,93.3,142151680
1599677759.0,1071980,9174321,41.0,142192640
1599677759.27,1073033,9175293,18.2,142192640
1599677759.55,1074167,9176427,14.4,142192640
1599677759.82,1075301,9177561,17.9,142192640
1599677760.1,1076516,9178776,18.3,142192640
1599677760.38,1077488,9179829,21.7,142196736
1599677760.65,1078874,9180988,17.7,142196736
1599677760.94,1080089,9182329,21.6,142200832
1599677761.21,1081223,9183463,20.9,142200832
1599677761.5,1082276,9184597,15.1,142200832
1599677761.77,1083512,9185731,17.9,142200832
1599677762.04,1084646,9186784,21.0,142200832
1599677762.33,1085955,9187999,15.4,142200832
1599677762.59,1087114,9189190,18.0,142200832
1599677762.87,1088305,9190948,18.0,142200832
1599677763.15,1089545,9192139,21.4,142200832
1599677763.43,1090679,9193273,17.9,142200832
1599677763.71,1091894,9194488,14.6,142200832
1599677763.98,1093028,9195460,25.2,142200832
1599677764.26,1094081,9196675,14.5,142200832
1599677764.53,1095215,9197749,21.0,142200832
1599677764.82,1096349,9198964,18.1,142200832
1599677765.1,1097483,9200192,18.1,142200832
1599677765.37,1098596,9201386,21.4,142200832
1599677765.65,1099844,9202439,18.4,142200832
